040147724;ФКБ "НЭПП-БАНК" БЕЛОКУРИХИНСКИЙ;30101810000000000724
040173710;ФКБ "СИБЭНЕРГОБАНК";30101810000000000710
040173762;ФКБ "ЮНИАСТРУМ БАНК" (ООО) В БАРНАУЛЕ;30101810100000000762
040147787;Ф-Л КРАБ "НОВОСИБИРСКВНЕШТОРГБАНК";30101810500000000787
040155715;Ф-Л ООО КБ"АЛТАЙКАПИТАЛБАНК"В Г.РУБЦОВСК;30101810700000000715
040173605;ФСБ СБ РФ N 152;30101810500000000605
040147603;ФСБ СБ РФ N 153;30101810600000000603
040161601;ФСБ СБ РФ N 176;30101810200000000601
040160601;ФСБ СБ РФ N 179;30101810300000000601
040120601;ФСБ СБ РФ N 2266;30101810100000000601
040129601;ФСБ СБ РФ N 2269;30101810200000000601
040148601;ФСБ СБ РФ N 2273;30101810900000000601
040166601;ФСБ СБ РФ N 2274;30101810700000000601
040161602;ФСБ СБ РФ N 2276;30101810500000000602
040123601;ФСБ СБ РФ N 2277;30101810800000000601
040134602;ФСБ СБ РФ N 2286;30101810300000000602
040169601;ФСБ СБ РФ N 2301;30101810400000000601
040136601;ФСБ СБ РФ N 2303;30101810800000000601
040124601;ФСБ СБ РФ N 2304;30101810700000000601
040173609;ФСБ СБ РФ N 2305;30101810700000000609
040138601;ФСБ СБ РФ N 2306;30101810600000000601
040152601;ФСБ СБ РФ N 2307;30101810800000000601
040115601;ФСБ СБ РФ N 2308;30101810300000000601
040156601;ФСБ СБ РФ N 2309;30101810400000000601
040162601;ФСБ СБ РФ N 2310;30101810100000000601
040125601;ФСБ СБ РФ N 2313;30101810600000000601
040158601;ФСБ СБ РФ N 2313/054;30101810200000000601
040131601;ФСБ СБ РФ N 2317;30101810300000000601
040167601;ФСБ СБ РФ N 2318;30101810600000000601
040135601;ФСБ СБ РФ N 2318/039;30101810900000000601
040165601;ФСБ СБ РФ N 2321;30101810800000000601
040147602;ФСБ СБ РФ N 2322;30101810300000000602
040168601;ФСБ СБ РФ N 2323;30101810500000000601
040163602;ФСБ СБ РФ N 2324;30101810300000000602
040143601;ФСБ СБ РФ N 2327;30101810400000000601
040147604;ФСБ СБ РФ N 2328;30101810900000000604
040118602;ФСБ СБ РФ N 2329;30101810300000000602
040122604;ФСБ СБ РФ N 2330;30101810800000000604
040132601;ФСБ СБ РФ N 2332;30101810200000000601
040159601;ФСБ СБ РФ N 2333;30101810100000000601
040155601;ФСБ СБ РФ N 270;30101810500000000601
040153601;ФСБ СБ РФ N 5943;30101810700000000601
040147606;ФСБ СБ РФ N 5945;30101810500000000606
040155603;ФСБ СБ РФ N 5947;30101810100000000603
040127601;ФСБ СБ РФ N 5950;30101810400000000601
040146601;ФСБ СБ РФ N 5951;30101810100000000601
040116601;ФСБ СБ РФ N 5956;30101810200000000601
040113601;ФСБ СБ РФ N 5958;30101810500000000601
040164601;ФСБ СБ РФ N 5960;30101810900000000601
040137601;ФСБ СБ РФ N 5965;30101810700000000601
040145601;ФСБ СБ РФ N 5983;30101810200000000601
040139601;ФСБ СБ РФ N 6893;30101810500000000601
040119601;ФСБ СБ РФ N 7117;30101810900000000601
040128601;ФСБ СБ РФ N 7117/017;30101810300000000601
040126601;ФСБ СБ РФ N 7118;30101810500000000601
040121602;ФСБ СБ РФ N 7118/034;30101810300000000602
040149601;ФСБ СБ РФ N 7121;30101810800000000601
040117601;ФСБ СБ РФ N 7123;30101810100000000601
040173601;ФСБ СБ РФ N 7436;30101810300000000601
040173607;ФСБ СБ РФ N 7492;30101810100000000607
040155602;ФСБ СБ РФ N 7861;30101810800000000602
040161603;ФСБ СБ РФ N 8189;30101810800000000603
040150602;ФСБ СБ РФ N 8189;30101810300000000602
040173602;ФСБ СБ РФ N 8203;30101810600000000602
040154602;ФСБ СБ РФ N 8417;30101810900000000602
040157601;ФСБ СБ РФ N 8482;30101810300000000601
041012765;"АЗИАТСКО-ТИХООКЕАНСКИЙ БАНК" (ОАО);30101810300000000765
041012759;АКБ "АЗИЯ-ТРАСТ";30101810400000000759
041012705;АКБ "ЛИГАБАНК";30101810700000000705
041012786;АКБ ОАО "БАМКРЕДИТ";30101810800000000786
041012760;АМУРСКИЙ РЕГИОНАЛЬНЫЙ ФАКБ "СБС-АГРО";30101810800000000760
041012717;АМУРСКИЙ РЕГИОНАЛЬНЫЙ ФАКБ"АГРОПРОМБАНК";30101810400000000717
041012731;АМУРСКИЙ РФ ОАО "РОССЕЛЬХОЗБАНК";30101810800000000731
041012715;АМУРСКИЙ ФИЛИАЛ ОАО АКБ "РОСБАНК";30101810800000000715
041012764;АМУРСКИЙ ФИЛИАЛ ООО "КРОНА-БАНК";30101810000000000764
041013740;БА РФ ПРОМСТРОЙБАНКА РОССИИ;30101810500000000740
041012788;БЛАГОВЕЩЕНСКИЙ ФИЛИАЛ ЗАО "РАЙФФАЙЗЕНБАНК";30101810400000000788
041012778;БЛАГОВЕЩЕНСКИЙ ФИЛИАЛ ОАО АКБ"СВЯЗЬ-БАНК";30101810300000000778
